station_code,station_name,lat,lon,municipality_sk,municipality_name,province_sk,number_of_monuments
GP,Geldrop,51.419723510742,5.5505557060242,9fd81843ad7f202f26c1a174c7357585,Geldrop-Mierlo,6512bd43d9caa6e02c990b0a82652dca,42
BSMZ,Bussum Zuid,52.26583480835,5.1630554199219,5737c6ec2e0716f3d8a7a5c4e0de0d9a,Gooise Meren,c9f0f895fb98ab9159f51fd0297e236d,315
SSH,Sassenheim,52.215278,4.517222,f718499c1c8cef6730f9fd03c8125cab,Teylingen,45c48cce2e2d7fbdea1afc51c7c6ad26,104
SBK,Spaubeek,50.94327,5.850529,e165421110ba03099a1c0393373c5b43,Beek (L.),c20ad4d76fe97759aa27a0c99bff6710,54
APG,Appingedam,53.3258135,6.8619577,819f46e52c25763a55cc642422644317,Eemsdelta,c4ca4238a0b923820dcc509a6f75849b,397
DZW,Delfzijl West,53.3320834,6.9069092,819f46e52c25763a55cc642422644317,Eemsdelta,c4ca4238a0b923820dcc509a6f75849b,397
GLN,Geleen Oost,50.966945648193,5.8430557250977,37bc2f75bf1bcfe8450a1a41c200364c,Sittard-Geleen,c20ad4d76fe97759aa27a0c99bff6710,258
EDN,Eijsden,50.771945953369,5.710000038147,158f3069a435b314a80bdcb024f8e422,Eijsden-Margraten,c20ad4d76fe97759aa27a0c99bff6710,394
ZDK,Zaandam Kogerveld,52.456665039062,4.8202776908875,013d407166ec4fa56eb1e1f8cbe183b9,Zaanstad,c9f0f895fb98ab9159f51fd0297e236d,275
BKG,Bovenkarspel-Grootebroek,52.694999694824,5.2377777099609,a8f15eda80c50adb0e71943adc8015cf,Stede Broec,c9f0f895fb98ab9159f51fd0297e236d,15
EHV,Eindhoven Centraal,51.443332672119,5.4813890457153,854d6fae5ee42911677c739ee1734486,Eindhoven,6512bd43d9caa6e02c990b0a82652dca,153
TL,Tiel,51.889446258545,5.4222221374512,d2ddea18f00665ce8623e36bd4e3c7c5,Tiel,1679091c5a880faf6fb5e6087eb1b2dc,103
NM,Nijmegen,51.843612670898,5.8522224426269,3295c76acbf4caaed33c36b1b5fc2cb1,Nijmegen,1679091c5a880faf6fb5e6087eb1b2dc,261
DL,Dalfsen,52.498332977295,6.25861120224,8e296a067a37563370ded05f5a3bf3ec,Dalfsen,a87ff679a2f3e71d9181a67b7542122c,121
VDM,Veendam,53.10324,6.88475,a87ff679a2f3e71d9181a67b7542122c,Veendam,c4ca4238a0b923820dcc509a6f75849b,76
BN,Borne,52.298889160156,6.7480554580689,1ff1de774005f8da13f42943881c655f,Borne,a87ff679a2f3e71d9181a67b7542122c,39
WT,Weert,51.248611450195,5.7036108970642,19f3cd308f1455b3fa09a282e0d496f4,Weert,c20ad4d76fe97759aa27a0c99bff6710,98
HVS,Hilversum,52.225833892822,5.1819443702698,a0a080f42e6f13b3a2df133f073095dd,Hilversum,c9f0f895fb98ab9159f51fd0297e236d,216
